iter	AUC
363	0.6491084306
364	0.6491946195
365	0.6492278196
366	0.6492814946
367	0.6493377977
368	0.649381693
369	0.6494144238
370	0.6495231674
371	0.6496089259
372	0.6496340543
373	0.6496839802
374	0.6497356978
375	0.6497493045
376	0.6498353173
377	0.6499352721
378	0.6499715744
379	0.6500786563
380	0.6501109157
381	0.6501961044
382	0.6502319564
383	0.6502830714
384	0.6503121545
385	0.6503258322
386	0.6503442533
387	0.6503892498
388	0.6504648343
389	0.6505235567
390	0.6505644488
391	0.6506152043
392	0.6506425682
393	0.6506996369
394	0.6507428393
395	0.6507840973
396	0.6508315068
397	0.6509049623
398	0.6509652618
399	0.6509789938
400	0.6510124358
401	0.6510804922
402	0.6511473462
403	0.6512199512
404	0.6512710966
405	0.651353548
406	0.6514120124
407	0.6514442487
408	0.6514831057
409	0.6515140769
410	0.6515490309
411	0.6515800317
412	0.6516705479
413	0.6517350776
414	0.6517546755
415	0.6517767736
416	0.651833399
417	0.6518715686
418	0.6519286658
419	0.6519670894
420	0.6520075915
421	0.6520389964
422	0.6521116936
423	0.6521968806
424	0.6522818144
425	0.6523379754
426	0.6523761702
427	0.6524722283
428	0.6525438885
429	0.6526222215
430	0.652710926
431	0.6527562859
432	0.6528525441
433	0.6528793003
434	0.6529106957
435	0.6529565778
436	0.6529779557
437	0.653025371
438	0.6530439452
439	0.6531236913
440	0.6531730435
441	0.6531815692
442	0.6533065253
443	0.6533658063
444	0.653404543
445	0.653414848
446	0.6534405135
447	0.6535022962
448	0.6535364426
449	0.6535803747
450	0.6537013154
451	0.65374531
452	0.653803826
453	0.6538410171
454	0.6539001292
455	0.65390467
456	0.6539892978
457	0.6540129028
458	0.6540749581
459	0.6541023227
460	0.6541677586
461	0.6542279741
462	0.6542834046
463	0.6543128058
464	0.6543574946
465	0.6544116041
466	0.6544764686
467	0.6545359452
468	0.6545686668
469	0.6545771741
470	0.6546007228
471	0.6546559601
472	0.654715957
473	0.6547735765
474	0.6548196137
475	0.6548529011
476	0.6549416344
477	0.6549797834
478	0.6549961874
479	0.6550470305
480	0.6550708129
481	0.6551404796
482	0.6552030181
483	0.6552014346
484	0.6552226597
485	0.6552970941
486	0.6553340836
487	0.6553390816
488	0.6553683943
489	0.6554107636
490	0.655460166
491	0.6555290033
492	0.6555861744
493	0.6556460796
494	0.6556793877
495	0.6557544555
496	0.6557959604
497	0.6558436097
498	0.655854535
499	0.6558985251
500	0.6559454282
501	0.6560095692
502	0.6560663019
503	0.6560793771
504	0.6561058657
505	0.6561570376
506	0.6561773199
507	0.6562425607
508	0.6562687352
509	0.6562986885
510	0.6563685475
511	0.656394891
512	0.6564017813
513	0.6564798865
514	0.6565488684
515	0.6565788236
516	0.6566088834
517	0.6566378848
518	0.6566905237
519	0.6567331103
520	0.6567565547
521	0.6568253957
522	0.6569171037
523	0.656962037
524	0.6570066212
525	0.6571197004
526	0.6571925487
527	0.6572554858
528	0.6572908427
529	0.6573094108
530	0.6573895965
531	0.6574206914
532	0.6574528133
533	0.6575069536
534	0.6575550341
535	0.6575536157
536	0.6575772641
537	0.6576461959
538	0.6577235269
539	0.6577831209
540	0.6578428639
541	0.6579274452
542	0.6579740252
543	0.6580729926
544	0.658227685
545	0.6582568217
546	0.6582962973
547	0.6583405874
548	0.6583688249
549	0.6584208693
550	0.6584621576
551	0.6585180315
552	0.6585514226
553	0.658559581
554	0.6586113147
555	0.6586976977
556	0.6587230144
557	0.6587760796
558	0.6588143806
559	0.6588744637
560	0.6588998993
561	0.658957692
562	0.658993604
563	0.659047024
564	0.659074091
565	0.6590816272
566	0.659098862
567	0.6591236743
568	0.6591608092
569	0.6591768678
570	0.6592374379
571	0.6592741874
572	0.6592786708
573	0.6593291945
574	0.6593704724
575	0.6594093348
576	0.6594462237
577	0.6594470426
578	0.6595029042
579	0.6595451497
580	0.6596347701
581	0.6596710584
582	0.6597271592
583	0.6597644825
584	0.6597852255
585	0.6598345917
586	0.6598632705
587	0.6598910894
588	0.6599011199
589	0.6599169561
590	0.6599683566
591	0.6600187034
592	0.6600944575
593	0.6601157978
594	0.6601374262
595	0.6602297367
596	0.6602614265
597	0.66028839
598	0.6603129037
599	0.6603247654
600	0.6603875944
601	0.6604215444
602	0.6605255903
603	0.6605551933
604	0.6606344869
605	0.6606398413
606	0.6606555047
607	0.6607112393
608	0.6607638031
609	0.6607823859
610	0.6608128127
611	0.6608310672
612	0.6608790649
613	0.6609214872
614	0.6609555926
615	0.6609889532
616	0.6610088123
617	0.6610685624
618	0.6611007577
619	0.6611466529
620	0.6611847362
621	0.6612297922
622	0.6612594507
623	0.6612902805
624	0.661303921
625	0.6613360745
626	0.661394937
627	0.6614748878
628	0.6614865661
629	0.6615256009
630	0.6615455261
631	0.6615729813
632	0.6616006304
633	0.6616219583
634	0.661642647
635	0.6616872185
636	0.6617170554
637	0.6617479752
638	0.6617649342
639	0.6618029679
640	0.6618662957
641	0.6618835054
642	0.6619651556
643	0.6619776846
644	0.6619869942
645	0.6620207668
646	0.6620554294
647	0.6620770564
648	0.6621393206
649	0.6621770269
650	0.662233136
651	0.6623031321
652	0.6623257543
653	0.6623894933
654	0.6624316249
655	0.6624592421
656	0.6624826985
657	0.6625409624
658	0.6625450856
659	0.6625558074
660	0.662587862
661	0.6626091418
662	0.6626619138
663	0.6626976122
664	0.6627505716
665	0.6627700046
666	0.6627870593
667	0.6628101591
668	0.6628603661
669	0.6628781594
670	0.6629275567
671	0.6629514301
672	0.6629976571
673	0.6630274492
674	0.6630894896
675	0.6631360092
676	0.6631468097
677	0.663155372
678	0.6632051474
679	0.6632582322
680	0.6632834626
681	0.6633101336
682	0.6633544073
683	0.6633862239
684	0.6634388008
685	0.6634938507
686	0.6635126648
687	0.6635495922
688	0.6635778363
689	0.6636014118
690	0.6635988723
691	0.6636250588
692	0.6636443631
693	0.663674332
694	0.6637036417
695	0.6637632232
696	0.6637801227
697	0.6638128153
698	0.6638432501
699	0.6638522317
700	0.6638717829
701	0.663897231
702	0.6639358166
703	0.6639594105
704	0.6640106328
705	0.6640495079
706	0.6640633784
707	0.6640921029
708	0.6641388689
709	0.6642092222
710	0.6642410815
711	0.6643295714
712	0.6643662038
713	0.6643882473
714	0.6644085931
715	0.6644387879
716	0.6644414325
717	0.6644931004
718	0.6645589195
719	0.6645946125
720	0.6646623643
721	0.6647580834
722	0.6647950182
723	0.6648067972
724	0.6648347729
725	0.6648443947
726	0.6649038689
727	0.6649090731
728	0.6649553946
729	0.6649672911
730	0.6650189043
731	0.6650386078
732	0.6651034851
733	0.6651226753
734	0.6651847795
735	0.6651987775
736	0.6652226377
737	0.6652814632
738	0.6653208678
739	0.6653405734
740	0.6653688842
741	0.6653996969
742	0.6654513066
743	0.6654842981
744	0.6655084161
745	0.6655438897
746	0.6655643253
747	0.6655827113
748	0.6655892931
749	0.6656560569
750	0.6656953988
751	0.6657363475
752	0.6657608326
753	0.6657756599
754	0.6657996026
755	0.6658454253
756	0.6658980748
757	0.665912276
758	0.6659449247
759	0.6659572966
760	0.6659888259
