msid	tstamp	latgps	latgpsutm	lnggps	lnggpsutm	lnglac	lnglacutm	latlac	latlacutm	cellid	lac	mnc
1	20170420095217	31.284858000000003	3462141.4951	121.50096	357312.1664	121.50199127	357405.7554	31.28181267	3461802.5939	8898325	6266	1.0
1	20170420095317	31.284858000000003	3462141.4951	121.50096	357312.1664	121.50199127	357405.7554	31.28181267	3461802.5939	8898325	6266	1.0
1	20170420095417	31.284858000000003	3462141.4951	121.50096	357312.1664	121.50199127	357405.7554	31.28181267	3461802.5939	8898325	6266	1.0
1	20170420095517	31.284858000000003	3462141.4951	121.50096	357312.1664	121.50199127	357405.7554	31.28181267	3461802.5939	8898325	6266	1.0
1	20170420095617	31.284858000000003	3462141.4951	121.50096	357312.1664	121.50199127	357405.7554	31.28181267	3461802.5939	8898325	6266	1.0
1	20170420095750	31.287387	3462424.6227	121.498802	357110.5482	121.50199127	357405.7554	31.28181267	3461802.5939	8898325	6266	1.0
1	20170420095900	31.287387	3462424.6227	121.498802	357110.5482	121.50199127	357405.7554	31.28181267	3461802.5939	8898325	6266	1.0
1	20170420100000	31.284858000000003	3462141.4951	121.50096	357312.1664	121.49724579	356965.6919	31.28956223	3462667.7593	8898315	6266	1.0
1	20170420100127	31.284858000000003	3462141.4951	121.50096	357312.1664	121.50199127	357405.7554	31.28181267	3461802.5939	8898325	6266	1.0
1	20170420100227	31.284858000000003	3462141.4951	121.50096	357312.1664	121.50199127	357405.7554	31.28181267	3461802.5939	8898325	6266	1.0
1	20170420100327	31.284858000000003	3462141.4951	121.50096	357312.1664	121.50199127	357405.7554	31.28181267	3461802.5939	8898325	6266	1.0
1	20170420100427	31.284858000000003	3462141.4951	121.50096	357312.1664	121.50199127	357405.7554	31.28181267	3461802.5939	8898325	6266	1.0
1	20170420100621	31.284858000000003	3462141.4951	121.50096	357312.1664	121.50199127	357405.7554	31.28181267	3461802.5939	8898325	6266	1.0
1	20170420101102	31.284858000000003	3462141.4951	121.50096	357312.1664	121.50199127	357405.7554	31.28181267	3461802.5939	8898325	6266	1.0
1	20170420101202	31.284858000000003	3462141.4951	121.50096	357312.1664	121.50199127	357405.7554	31.28181267	3461802.5939	8898325	6266	1.0
1	20170420101302	31.284858000000003	3462141.4951	121.50096	357312.1664	121.50199127	357405.7554	31.28181267	3461802.5939	8898325	6266	1.0
1	20170420101436	31.284858000000003	3462141.4951	121.50096	357312.1664	121.50199127	357405.7554	31.28181267	3461802.5939	8898325	6266	1.0
1	20170420101835	31.284858000000003	3462141.4951	121.50096	357312.1664	121.50199127	357405.7554	31.28181267	3461802.5939	8898325	6266	1.0
